network,length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,efficiency_global,efficiency_local,efficiency_global_routed,efficiency_local_routed,directness_lcc_linkwise,directness_all_linkwise
bikeable,39769.76399999996,25941.849999999984,16.85883422608972,4.287361350925185e-05,0.6688178959822577,6,56,0.49481374630924113,0.09129892640472813,0,0,0.7039757717956105,0.7207954899936355
bikeable_offstreet,24769.627000000048,4825.167000000004,15.50614317759968,0.0,0.7114632486546258,5,44,0.5228821200446521,0.0630313272332542,0,0,0.753146880951633,0.8058701573737053
biketrack,22389.996000000036,4696.720000000003,14.387957946364935,0.0,0.711973784477953,5,24,0.4498840832521585,0.08900145526342362,0,0,0.7566152332517385,0.8159233697494972
biketrack_onstreet,0,0,0,0,0,0,0,0,0,0,0,0,0
biketrackcarall,171399.6560000002,171317.17500000016,24.80831812367591,0.6690873359175107,0.6586978257162572,8,3,0.7931848592729935,0.10289185325611493,0,0,0.7253196098252951,0.7180307111638355
carall,149150.2280000002,149150.2280000002,24.72218474712699,0.6752909065905035,0.6752909065905035,8,1,0.8016347040604983,0.0941714641169618,0,0,0.736668096165635,0.736668096165635
